Cafe Luna, 628 Hudson St, New York, NY 10014, United States, United
11th Street Cafe, 327 W 11th St, New York, NY 10014, United States, United
Café Kitsuné West Village, 550 Hudson St, New York, NY 10014, United States, United
Merriweather Coffee + Kitchen, 428 Hudson St, New York, NY 10014, United States, United
The Coppola Cafe, 171 West 4th Street, New York, NY 10014, United States, United
Amano Cafe, 172 West 4th Street, New York, NY 10014, United States, United
787 Coffee, 208 W 10th St, New York, NY 10014, United States, United
Bluestone Lane West Village Coffee Shop, 30 Carmine St, New York, NY 10014, United States, United
Caffè Aronne, 112 Greenwich Ave, New York, NY 10011, United States, United
Naturel Cafe, 97 Greenwich Ave, New York, NY 10014, United States, United
Bluestone Lane Collective Café, 55 Greenwich Ave, New York, NY 10014, United States, United
Blank Street Coffee, 300 Bleecker St, New York, NY 10014, United States, United
Daily Provisions - West Village, 29 Bedford St, New York, NY 10014, United States, United
Judy's Cafe, 109 Leroy St, New York, NY 10014, United States, United
ad hoc : cafe, 13 Christopher St, New York, NY 10014, United States, United
Hercules Cafe, 275 Bleecker St, New York, NY 10014, United States, United
Bean Gourmet Coffee, 320N W 14th St, New York, NY 10014, United States, United
Cafe Panino Mucho Giusto, 551 Hudson St No 8, New York, NY 10014, United States, United
Hungry Ghost Coffee, 315 Bleecker St, New York, NY 10014, United States, United
Studio Cafe, 99 Gansevoort St #8, New York, NY 10014, United States, United
The Grey Dog, 49 Carmine St, New York, NY 10014, United States, United
Think Coffee, 73 8th Ave, New York, NY 10014, United States, United
Joe Coffee Company, 141 Waverly Pl, New York, NY 10014, United States, United
Jack’s Stir Brew Coffee, 138 W 10th St, New York, NY 10014, United States, United
maman, 800 Washington St, New York, NY 10014, United States, United
THE ELK, 128 Charles St, New York, NY 10014, United States, United
Banter NYC Hudson, 643 Hudson St, New York, NY 10014, United States, United
Paquita, 242 W 10th St, New York, NY 10014, United States, United
The Bruffin Cafe, 52 Gansevoort St, New York, NY 10014, United States, United
Blackstone Coffee Roaster, 502 Hudson St, New York, NY 10014, United States, United
Gregorys Coffee, 200 Varick St, New York, NY 10014, United States, United
Lotto.com - Players Cafe, 241 Bleecker St, New York, NY 10014, United States, United
maman, 375 Hudson St, New York, NY 10014, United States, United
Blank Street Coffee, 19 8th Ave, New York, NY 10014, United States, United
Starbucks, 678 Hudson St, New York, NY 10014, United States, United
Kobrick Coffee Co., 24 9th Ave, New York, NY 10014, United States, United
Madman Espresso & Bakery, 332 Bleecker St, New York, NY 10014, United States, United
Canto Café, East Store, 117 Perry St, New York, NY 10014, United States, United
Coffee + Cocktails, 18 9th Ave, New York, NY 10014, United States, United
Steaming Hotties, 28 King St, New York, NY 10014, United States, United
Partners Coffee, 44 Charles St, New York, NY 10014, United States, United
St Jardim, 183 W 10th St, New York, NY 10014, United States, United
McNulty's Tea & Coffee Co, 109 Christopher St, New York, NY 10014, United States, United
Ubani, 37A Bedford St, New York, NY 10014, United States, United
Oslo Coffee Roasters, 236 W 10th St, New York, NY 10014, United States, United
Think Coffee Center, 208 W 13th St, New York, NY 10011, United States, United
Bedford Studio, 62 Bedford St, New York, NY 10014, United States, United
Best Coffee, 25 Jones St, New York, NY 10014, United States, United
Bus Stop Cafe, 597 Hudson St, New York, NY 10014, United States, United
Starbucks, 72 Grove St, New York, NY 10014, United States, United
Coffee Project New York | West Village, 208 W 13th St, New York, NY 10011, United States, United
The Couch Tomato, 487 Hudson St, New York, NY 10014, United States, United
Seven Grams Caffe Varick, 175 Varick St, New York, NY 10014, United States, United
Cafe Cluny, 284 W 12th St, New York, NY 10014, United States, United
Café at Pop Up Grocer, 205 Bleecker St, New York, NY 10012, United States, United
Julietta Gelato Cafè, 335 Bleecker St, New York, NY 10014, United States, United
Joji Rooftop, 62 Charles St, New York, NY 10014, United States, United
Kerber's Farm NYC, 264 Bleecker St, New York, NY 10014, United States, United
Do Not Feed Alligators, 337 Bleecker St, New York, NY 10014, United States, United
Rosecrans Florist & Cafe, 7 Greenwich Ave, New York, NY 10014, United States, United
Milk Bar, 74 Christopher St, New York, NY 10014, United States, United
JOE & THE JUICE, 549 Hudson St, New York, NY 10014, United States, United
Tea & Sympathy, 108 Greenwich Ave, New York, NY 10011, United States, United
Banter NYC - West Village, 643 Hudson St, New York, NY 10014, United States, United
Buvette Gastrotheque, At the corner of Bleecker, 42 Grove St, New York, NY 10014, United States, United
Dunkin', 395 Hudson St, New York, NY 10014, United States, United
Dunkin', 75 Christopher St, New York, NY 10014, United States, United
Southern Charm, 523 Hudson St, New York, NY 10014, United States, United
Dunkin', 175 Varick St, New York, NY 10014, United States, United
